Unb;Mapa;Veiculo;Armazem;Nome Armazem;Cliente;Nome;Endereco;Bairro;Cidade;Cd.Vdr;Pedido;Tipo Mov;Peso Bruto;Hr.Min;Hr.Max;Situacao;
0001;   107;         ;  ;                    ;       19208;BARRACA ARTHUR MAAH ;R   CAMINHO DO MEIO               3     ;SERTAO DO CAMBURI   ;SAO SEBASTIAO       ;  107;505017;VENDA      ;     47,18;00:00;00:00;                 
0001;   107;         ;  ;                    ;       19208;BARRACA ARTHUR MAAH ;R   CAMINHO DO MEIO               3     ;SERTAO DO CAMBURI   ;SAO SEBASTIAO       ;  107;505019;VENDA      ;     25,92;00:00;00:00;                 
0001;   107;         ;  ;                    ;       19208;BARRACA ARTHUR MAAH ;R   CAMINHO DO MEIO               3     ;SERTAO DO CAMBURI   ;SAO SEBASTIAO       ;  107;505018;BONIFICACAO;      6,00;00:00;00:00;                 
0001;   107;         ;  ;                    ;       58806;CARRINHO DO JONAS   ;R   TIJUCAS                       74    ;BAIRRO DE CAMBURI   ;SAO SEBASTIAO       ;  107;505117;VENDA      ;     27,72;00:00;00:00;                 
0001;   107;         ;  ;                    ;       58807;CARRINHO DOS BAIANOS;R   NOSSA SENHORA APARECIDA       40    ;CAMBURI             ;SAO SEBASTIAO       ;  107;505296;VENDA      ;     38,88;00:00;00:00;                 
0001;   107;         ;  ;                    ;       58931;CARRINHO DO KADU    ;R   MARIA PRUDENCIA CESAR         25    ;MARESIAS            ;SAO SEBASTIAO       ;  107;505323;VENDA      ;     31,12;00:00;00:00;                 
0001;   107;         ;  ;                    ;       60005;CARRINHO SAO PAULINO;R   LUZIANA                       174   ;BOICUCANGA          ;SAO SEBASTIAO       ;  107;505324;VENDA      ;     22,40;00:00;00:00;                 
0001;   107;         ;  ;                    ;       60005;CARRINHO SAO PAULINO;R   LUZIANA                       174   ;BOICUCANGA          ;SAO SEBASTIAO       ;  107;505325;BONIFICACAO;      1,45;00:00;00:00;                 
0001;   108;         ;  ;                    ;         194;S5 - CANTO DO PAUBA ;R   R BRAGANCA PAULISTA 150       150   ;PAUBA               ;SAO SEBASTIAO       ;  108;505020;VENDA      ;     51,80;00:00;00:00;                 
0001;   108;         ;  ;                    ;        3240;ESFIHA BOISSUCANGA  ;R   WALKIR VERGANI                111   ;BARRA DO SAHY       ;SAO SEBASTIAO       ;  108;505021;VENDA      ;     72,56;00:00;00:00;                 
0001;   108;         ;  ;                    ;        6299;PANIFICADORA ALIANCA;R   Brasil                        1250  ;BARRA VELHA         ;ILHABELA            ;  108;505173;VENDA      ;     77,13;00:00;00:00;                 
0001;   108;         ;  ;                    ;       15729;ADEGA TH            ;TV  DO CARLA CESAR MATIAS_x000D_(N98    ;MARESIAS            ;SAO SEBASTIAO       ;  108;505022;VENDA      ;    329,20;00:00;00:00;                 
0001;   108;         ;  ;                    ;       15729;ADEGA TH            ;TV  DO CARLA CESAR MATIAS_x000D_(N98    ;MARESIAS            ;SAO SEBASTIAO       ;  108;505307;VENDA      ;      2,90;00:00;00:00;                 
0001;   108;         ;  ;                    ;       17537;BAR DO CAMPO        ;R   OLIMPIO FAUSTINO              42    ;CAMBURI             ;SAO SEBASTIAO       ;  108;505205;VENDA      ;    148,42;00:00;00:00;                 
0001;   108;         ;  ;                    ;       18267;CIRIBAI BAR E COZINH;R   DOS JACARANDAS                165   ;PAUBA               ;SAO SEBASTIAO       ;  108;505023;VENDA      ;     38,86;00:00;00:00;                 
0001;   108;         ;  ;                    ;       18267;CIRIBAI BAR E COZINH;R   DOS JACARANDAS                165   ;PAUBA               ;SAO SEBASTIAO       ;  108;505025;BONIFICACAO;      6,40;00:00;00:00;                 
0001;   108;         ;  ;                    ;       18294;MERCEARIA DA ANA    ;EST DO CASCALHO                   2020  ;BOICUCANGA          ;SAO SEBASTIAO       ;  108;505267;VENDA      ;     22,40;00:00;00:00;                 
0001;   109;         ;  ;                    ;        1005;BAR DO VIVALDO      ;R   BERNARDO CARDIN NETO          687   ;MORRO DO ABRIGO     ;SAO SEBASTIAO       ;  109;505328;VENDA      ;    211,15;00:00;00:00;                 
0001;   109;         ;  ;                    ;        3147;PAD. MERC. ENSEADA  ;AV  VEREADOR EMILIO GRANATO       5485  ;ENSEADA             ;SAO SEBASTIAO       ;  109;505124;VENDA      ;    119,23;00:00;00:00;                 
0001;   109;         ;  ;                    ;        3147;PAD. MERC. ENSEADA  ;AV  VEREADOR EMILIO GRANATO       5485  ;ENSEADA             ;SAO SEBASTIAO       ;  109;505125;BONIFICACAO;      6,40;00:00;00:00;                 
0001;   109;         ;  ;                    ;        5989;BAR DO RAIMUNDINHO  ;R   CAPITAO LUIZ SOARES           295   ;CENTRO              ;SAO SEBASTIAO       ;  109;505269;VENDA      ;    554,64;00:00;00:00;                 
0001;   109;         ;  ;                    ;        6480;BAR DO GIL          ;R   NETUNO                        279   ;CANTO DO MAR        ;SAO SEBASTIAO       ;  109;505151;VENDA      ;    194,40;00:00;00:00;                 
0001;   109;         ;  ;                    ;       11047;COSTA NORTE LANCHONE;PC  JOAO EDUARDO DE MORAES        5193  ;ENSEADA             ;SAO SEBASTIAO       ;  109;505024;VENDA      ;    225,22;00:00;00:00;                 
0001;   109;         ;  ;                    ;       11295;CARRINHO DA BAIANA  ;R   DA SEREIA                     279   ;CIGARRAS            ;SAO SEBASTIAO       ;  109;505361;VENDA      ;     74,09;00:00;00:00;                 
0001;   109;         ;  ;                    ;       11758;S5 - SR. BUTY       ;R   GENERAL OSORIO                105   ;CENTRO              ;SAO SEBASTIAO       ;  109;505026;VENDA      ;    213,46;00:00;00:00;                 
0001;   109;         ;  ;                    ;       12948;MAR PEIXE           ;R   PARA                          127   ;INDUSTRIAL          ;SAO SEBASTIAO       ;  109;505208;VENDA      ;     44,90;00:00;00:00;                 
0001;   109;         ;  ;                    ;       15719;BAR DOS AMIGOS      ;R   CARREADOR DA ENSEADA          25    ;JARAGUA             ;SAO SEBASTIAO       ;  109;505029;VENDA      ;    326,96;00:00;00:00;                 
0001;   109;         ;  ;                    ;       16831;PRIMAS MERCEARIA E B;R   ONUMA                         515   ;JARAGUA             ;SAO SEBASTIAO       ;  109;505237;VENDA      ;     42,00;00:00;00:00;                 
0001;   109;         ;  ;                    ;       17436;TERRENO S BAR       ;TV  ERICO VERISSIMO               16    ;CANTO DO MAR        ;SAO SEBASTIAO       ;  109;505276;VENDA      ;    184,25;00:00;00:00;                 
0001;   109;         ;  ;                    ;       17451;RAFAELA BORGES      ;R   ANTONIO DE SOUZA SANTOS       93    ;PEGORELLI           ;CARAGUATATUBA       ;  109;505359;VENDA      ;    131,68;00:00;00:00;                 
0001;   109;         ;  ;                    ;       17816;JHONNY OLIVEIRA     ;AV  MANOEL TEIXEIRA               786   ;SAO FRANCISCO DA PRA;SAO SEBASTIAO       ;  109;505031;VENDA      ;    131,48;00:00;00:00;                 
0001;   109;         ;  ;                    ;       18382;VINICIUS NAGAO      ;R   EXPEDICIONARIOS BRASILEIRO    260   ;CENTRO              ;SAO SEBASTIAO       ;  109;505389;VENDA      ;     68,79;00:00;00:00;                 
0001;   109;         ;  ;                    ;       18397;MARUJOS             ;AV  DOUTOR MANOEL HIPOLITO DO REGO2909  ;PORTAL DA OLARIA    ;SAO SEBASTIAO       ;  109;505033;VENDA      ;    347,82;00:00;00:00;                 
0001;   109;         ;  ;                    ;       19595;CARLOS ALBERTO FREIT;R   EVARISTO DA VEIGA             226   ;BAREQUECABA         ;SAO SEBASTIAO       ;  109;505133;VENDA      ;     68,64;00:00;00:00;                 
0001;   109;         ;  ;                    ;       19595;CARLOS ALBERTO FREIT;R   EVARISTO DA VEIGA             226   ;BAREQUECABA         ;SAO SEBASTIAO       ;  109;505135;BONIFICACAO;      2,22;00:00;00:00;                 
0001;   109;         ;  ;                    ;       19612;EMPORIUM BEER       ;R   PERSEIS                       26    ;CANTO DO MAR        ;SAO SEBASTIAO       ;  109;505034;VENDA      ;     64,91;00:00;00:00;                 
0001;   109;         ;  ;                    ;       19612;EMPORIUM BEER       ;R   PERSEIS                       26    ;CANTO DO MAR        ;SAO SEBASTIAO       ;  109;505139;VENDA      ;     14,56;00:00;00:00;                 
0001;   109;         ;  ;                    ;       19612;EMPORIUM BEER       ;R   PERSEIS                       26    ;CANTO DO MAR        ;SAO SEBASTIAO       ;  109;505140;BONIFICACAO;      6,74;00:00;00:00;                 
0001;   109;         ;  ;                    ;       19681;65.447.855 JOAO VICT;R   CARREADOR DA ENSEADA          265   ;JARAGUA             ;SAO SEBASTIAO       ;  109;505232;VENDA      ;     80,12;00:00;00:00;                 
0001;   109;         ;  ;                    ;       19700;ROSA DE SOUZA       ;R   Rua Maximiliano Quintino dos S69    ;PRAIA DA ENSEADA    ;SAO SEBASTIAO       ;  109;505153;VENDA      ;     80,99;00:00;00:00;                 
0001;   110;         ;  ;                    ;        2457;CAMPING DO CACAU    ;R   SILVERIO NUNES DOS PASSOS     300   ;P. DO SANTIAGO      ;SAO SEBASTIAO       ;  110;505027;VENDA      ;    104,10;00:00;00:00;                 
0001;   110;         ;  ;                    ;        9562;NORI SUSHI          ;AV  DOUTOR ALTINO ARANTES         258   ;CENTRO              ;SAO SEBASTIAO       ;  110;505331;VENDA      ;     89,70;00:00;00:00;                 
0001;   110;         ;  ;                    ;       11818;S5 - CAPITAN CHOPP  ;R   DOUTOR ALTINO ARANTES         290   ;CENTRO              ;SAO SEBASTIAO       ;  110;505028;VENDA      ;    119,06;00:00;00:00;                 
0001;   110;         ;  ;                    ;       15623;QUIOSQUE JUNDIAI    ;R   IVAIR DE AZEVEDO MARQUES      355   ;BAREQUECABA         ;SAO SEBASTIAO       ;  110;505217;VENDA      ;     64,22;00:00;00:00;                 
0001;   110;         ;  ;                    ;       15623;QUIOSQUE JUNDIAI    ;R   IVAIR DE AZEVEDO MARQUES      355   ;BAREQUECABA         ;SAO SEBASTIAO       ;  110;505218;BONIFICACAO;     14,45;00:00;00:00;                 
0001;   110;         ;  ;                    ;       16294;DUKE BEACH HOTEL    ;AV  DOUTOR FRANCISCO LOUP         539   ;MARESIAS            ;SAO SEBASTIAO       ;  110;505224;VENDA      ;    116,10;00:00;00:00;                 
0001;   110;         ;  ;                    ;       16365;TONHAO DELIVERY     ;R   CORDOVIL MOREIRA              52    ;CENTRO              ;SAO SEBASTIAO       ;  110;505030;VENDA      ;    340,49;00:00;00:00;                 
0001;   110;         ;  ;                    ;       18814;VILLA DA PRAIA BAR E;AV  PATRIARCA ANTONIO JOSE MARQUES330   ;CAMBURI             ;SAO SEBASTIAO       ;  110;505032;VENDA      ;     64,80;00:00;00:00;                 
